No,Conty,Producder,Stock,Adderres,Pro_name,Pro_ctgry,count
101 ,高雄市,余峰瑞,0.24,高雄市大寮區濃公路256巷53,脆皮夾餅,餅皮/麵皮,1 
102,高雄市,進益糕餅食品有限公司,0.375,高雄市三民區灣興街40號,月餅,傳統糕餅,1
103,高雄市,台灣欣榮食品股份有限公司,3.21,"高雄市旗山區旗南一路磚廠巷
16號",手工?抓餅,餅皮/麵皮,1
104 ,宜蘭縣,福客來西點蛋糕,0.75,宜蘭縣員山鄉永同路一段183號,傳統月餅,傳統糕餅,1 
105 ,宜蘭縣,天送埤(味珍香飲食店),2.7,宜蘭縣三星鄉三星路七段305號,卜肉,其他肉類,1 
106 ,屏東縣,饌師傅食品,0.45,屏東縣九如鄉光復路287號,蔥頭酥,肉鬆/酥,1 
107 ,屏東縣,劉文通,0.795,東港鎮興漁里順漁路65巷1弄1,旗魚酥,肉鬆/酥,1 
108 ,屏東縣,慶祥,2.79,東港鎮延平路180號,旗魚酥,肉鬆/酥,1 
109 ,屏東縣,富統食品,0.03,萬丹鄉泉順街439巷37號,新產品研發測試用,,1 
110 ,屏東縣,陸仕食品,4.455,內埔鄉北寧路二段88號,油包,調味醬/油/高湯,1 
總計噸數,,,169.317,,,,110 
